method,n,ar,df,rho,SNR,rep,mse
linear,200,0.2,1.0,0.2,1,0,0.9683964454956587
quantile,200,0.2,1.0,0.2,1,0,0.06654423724585479
huber,200,0.2,1.0,0.2,1,0,0.05248640990712781
linear,200,0.2,1.0,0.2,1,1,2.3231784539870413
quantile,200,0.2,1.0,0.2,1,1,0.028053942469800495
huber,200,0.2,1.0,0.2,1,1,0.03418261551234327
linear,200,0.2,1.0,0.2,1,2,0.7524012092498366
quantile,200,0.2,1.0,0.2,1,2,0.00891621831257047
huber,200,0.2,1.0,0.2,1,2,0.010314924459778118
linear,200,0.2,1.0,0.2,1,3,3.4499084129868907
quantile,200,0.2,1.0,0.2,1,3,0.02022223139155983
huber,200,0.2,1.0,0.2,1,3,0.020836764949373913
linear,200,0.2,1.0,0.2,1,4,1.5494018864355819
quantile,200,0.2,1.0,0.2,1,4,0.03241846650914573
huber,200,0.2,1.0,0.2,1,4,0.03214925940610564
linear,200,0.2,1.0,0.2,1,5,0.5765311296132521
quantile,200,0.2,1.0,0.2,1,5,0.03542361365119061
huber,200,0.2,1.0,0.2,1,5,0.02943541322902777
linear,200,0.2,1.0,0.2,1,6,0.33888800020218934
quantile,200,0.2,1.0,0.2,1,6,0.022206373888214264
huber,200,0.2,1.0,0.2,1,6,0.02139823060476755
linear,200,0.2,1.0,0.2,1,7,0.7510194800135578
quantile,200,0.2,1.0,0.2,1,7,0.02690674600054601
huber,200,0.2,1.0,0.2,1,7,0.016206656515566076
linear,200,0.2,1.0,0.2,1,8,17.43406445481564
quantile,200,0.2,1.0,0.2,1,8,0.06421414402196704
huber,200,0.2,1.0,0.2,1,8,0.06816460096322355
linear,200,0.2,1.0,0.2,1,9,13.00860447161135
quantile,200,0.2,1.0,0.2,1,9,0.02881645994511529
huber,200,0.2,1.0,0.2,1,9,0.03003318583704586
linear,200,0.2,1.0,0.2,1,10,265.89785981982465
quantile,200,0.2,1.0,0.2,1,10,0.02604713903849697
huber,200,0.2,1.0,0.2,1,10,0.022584104587681918
linear,200,0.2,1.0,0.2,1,11,3.7707834555135094
quantile,200,0.2,1.0,0.2,1,11,0.01666096619233428
huber,200,0.2,1.0,0.2,1,11,0.024331049185380038
linear,200,0.2,1.0,0.2,1,12,4.002468368050733
quantile,200,0.2,1.0,0.2,1,12,0.03011462090336383
huber,200,0.2,1.0,0.2,1,12,0.03424232997123829
linear,200,0.2,1.0,0.2,1,13,4541.3852686203845
quantile,200,0.2,1.0,0.2,1,13,0.025792873295228547
huber,200,0.2,1.0,0.2,1,13,0.02600368646536554
linear,200,0.2,1.0,0.2,1,14,11.869568806705846
